Czas;Plec;Wiek;Wsparcie;SE;Przekonania_kulturowe;Przekonania_ekonomiczne;Fundamentalizm_religijny;Ksenofobia;Akceptacja_kapitalizmu;Antyinterwencjonizm;GSES_1;GSES_2;GSES_3;GSES_4;GSES_5;GSES_6;GSES_7;GSES_8;GSES_9;GSES_10;KPP_1;KPP_2;KPP_3;KPP_4;KPP_5;KPP_6;KPP_6_ODW;KPP_7;KPP_8;KPP_8_ODW;KPP_9;KPP_10;KPP_11;KPP_11_ODW;KPP_12;KPP_12_ODW;KPP_13;KPP_14;KPP_14_ODW;KPP_15;KPP_16;KPP_16_ODW;KPP_17;KPP_17_ODW;KPP_18;KPP_19;KPP_19_ODW
2020/07/16 7:20:01 AM CET;0;23;0;33;1;1,36;1;1;1;1,71;3;2;3;4;4;4;3;3;3;4;1;1;1;1;1;1;5;1;5;1;1;1;5;1;5;1;1;4;2;1;5;1;5;1;1;5;1
2020/07/16 7:47:00 AM CET;0;40;0;25;1,5;2,76;1,67;1,33;2,67;2,86;2;2;2;3;2;3;3;2;3;3;1;2;1;3;1;1;5;1;3;3;1;3;1;5;4;2;1;4;2;1;3;3;4;2;2;3;3
2020/07/16 9:48:36 AM CET;0;24;0;27;4,33;2,69;4;4,67;2,67;2,71;3;2;2;2;2;4;3;3;3;3;2;3;5;3;4;3;3;5;3;3;5;2;1;5;4;2;3;2;4;5;5;1;3;3;4;3;3
2020/07/16 10:50:35 AM CET;1;28;0;37;1,83;3,14;2;1,67;3;3,29;4;3;3;3;4;4;4;4;4;4;2;3;3;2;2;1;5;1;3;3;2;4;4;2;4;2;1;3;3;2;2;4;3;3;2;3;3
2020/07/16 11:58:05 AM CET;1;63;0;33;2,83;2,36;3;2,67;2;2,71;4;4;3;3;3;3;4;3;3;3;4;2;4;2;2;4;2;4;4;2;2;2;4;2;4;2;4;4;2;2;4;2;2;4;2;1;5
2020/07/16 2:51:43 PM CET;1;28;0;33;1,42;2,83;1,17;1,67;1,67;4;4;3;3;3;3;3;3;4;4;3;1;3;1;1;1;1;5;1;1;5;1;1;4;2;4;2;1;3;3;3;2;4;1;5;1;2;4
2020/07/16 3:04:12 PM CET;1;25;0;29;3,5;2,64;4;3;2;3,29;3;3;3;3;3;3;2;3;3;3;3;2;4;3;4;2;4;3;3;3;5;1;1;5;3;3;3;3;3;4;2;4;3;3;2;3;3
2020/07/16 4:44:02 PM CET;0;32;0;28;1,83;3,29;1,67;2;3;3,57;3;3;3;2;3;3;2;2;3;4;1;3;2;3;1;1;5;3;2;4;1;3;2;4;5;1;1;2;4;2;2;4;3;3;1;2;4
2020/07/16 4:50:50 PM CET;0;25;1;35;2,92;2,57;2,17;3,67;2;3,14;4;3;3;3;4;3;4;3;4;4;3;2;3;2;2;3;3;4;4;2;1;2;4;2;2;4;2;1;5;3;4;2;2;4;4;4;2
2020/07/16 5:07:34 PM CET;1;26;0;38;1,67;3,31;2,33;1;2,33;4,29;4;3;3;4;4;4;4;4;4;4;1;3;4;1;2;1;5;1;1;5;1;3;2;4;4;2;2;1;5;1;1;5;1;5;1;3;3
